"","model","year","expected","Ecov"
"503","fit0",2014,415283.31604496,"noise2"
"504","fit0",2015,823101.306733444,"noise2"
"505","fit0",2016,859700.26575212,"noise2"
"506","fit0",2017,669838.603169142,"noise2"
"507","fit0",2018,471326.177258668,"noise2"
"508","fit0",2019,364916.538994259,"noise2"
"509","fit0",2020,333441.195836776,"noise2"
"510","fit0",2021,460540.475268488,"noise2"
"511","fit1",1992,632192.85948567,"noise2"
"512","fit1",1993,490940.255295616,"noise2"
"513","fit1",1994,532839.973048661,"noise2"
"514","fit1",1995,567067.395708684,"noise2"
"515","fit1",1996,580975.358802598,"noise2"
"516","fit1",1997,560481.968680808,"noise2"
"517","fit1",1998,464940.046444397,"noise2"
"518","fit1",1999,382394.048794533,"noise2"
"519","fit1",2000,319762.398949007,"noise2"
"520","fit1",2001,232582.078243272,"noise2"
"521","fit1",2002,245198.879735235,"noise2"
"522","fit1",2003,302431.98132865,"noise2"
"523","fit1",2004,322401.932856924,"noise2"
"524","fit1",2005,302179.362764042,"noise2"
"525","fit1",2006,234813.849612088,"noise2"
"526","fit1",2007,166837.611552914,"noise2"
"527","fit1",2008,155748.851949259,"noise2"
"528","fit1",2009,178363.660777226,"noise2"
"529","fit1",2010,346512.802263193,"noise2"
"530","fit1",2011,362078.634176119,"noise2"
"531","fit1",2012,326685.006347852,"noise2"
"532","fit1",2013,623212.47850295,"noise2"
"533","fit1",2014,562267.73307278,"noise2"
"534","fit1",2015,854447.669308861,"noise2"
"535","fit1",2016,835305.492346939,"noise2"
"536","fit1",2017,1271504.11009107,"noise2"
"537","fit1",2018,1177313.79873255,"noise2"
"538","fit1",2019,906264.22875358,"noise2"
"539","fit1",2020,484809.250460106,"noise2"
"540","fit1",2021,513374.818809796,"noise2"
"541","fit2",1992,622308.267620605,"noise2"
"542","fit2",1993,664058.688194782,"noise2"
"543","fit2",1994,727673.754610118,"noise2"
"544","fit2",1995,569965.041592062,"noise2"
"545","fit2",1996,482258.409782298,"noise2"
"546","fit2",1997,443585.248929161,"noise2"
"547","fit2",1998,379878.724792556,"noise2"
"548","fit2",1999,328853.868849797,"noise2"
"549","fit2",2000,335448.780195227,"noise2"
"550","fit2",2001,246059.36433253,"noise2"
"551","fit2",2002,283865.392691809,"noise2"
"552","fit2",2003,362557.030257312,"noise2"
"553","fit2",2004,399476.344858912,"noise2"
"554","fit2",2005,334181.426505595,"noise2"
"555","fit2",2006,252567.833172235,"noise2"
"556","fit2",2007,276682.149832077,"noise2"
"557","fit2",2008,336163.932976577,"noise2"
"558","fit2",2009,354748.73994776,"noise2"
"559","fit2",2010,427423.707345783,"noise2"
"560","fit2",2011,588646.994451484,"noise2"
"561","fit2",2012,527035.193667045,"noise2"
"562","fit2",2013,536726.59648641,"noise2"
"563","fit2",2014,461360.640452748,"noise2"
"564","fit2",2015,730901.861225697,"noise2"
"565","fit2",2016,850163.46625101,"noise2"
"566","fit2",2017,674230.081735237,"noise2"
"567","fit2",2018,450492.612729242,"noise2"
"568","fit2",2019,423244.844229995,"noise2"
"569","fit2",2020,328068.870976256,"noise2"
"570","fit2",2021,412241.743673756,"noise2"
